iter	Passed	Remaining
837	1238	239
838	1239	237
839	1240	236
840	1241	234
841	1242	233
842	1243	231
843	1244	229
844	1245	228
845	1247	227
846	1248	225
847	1249	223
848	1250	222
849	1251	220
850	1252	219
851	1253	217
852	1254	216
853	1255	214
854	1257	213
855	1258	211
856	1259	210
857	1261	208
858	1262	207
859	1264	205
860	1265	204
861	1266	202
862	1267	201
863	1268	199
864	1270	198
865	1271	196
866	1272	195
867	1273	193
868	1274	192
869	1276	190
870	1278	189
871	1279	187
872	1281	186
873	1282	184
874	1283	183
875	1284	181
876	1285	180
877	1286	178
878	1287	177
879	1289	175
880	1290	174
881	1291	172
882	1293	171
883	1294	169
884	1296	168
885	1298	167
886	1299	165
887	1300	164
888	1302	162
889	1303	161
890	1304	159
891	1305	158
892	1307	156
893	1308	155
894	1310	153
895	1311	152
896	1312	150
897	1313	149
898	1314	147
899	1315	146
900	1316	144
901	1317	143
902	1318	141
903	1320	140
904	1321	138
905	1322	137
906	1325	135
907	1326	134
908	1327	132
909	1329	131
910	1330	130
911	1332	128
912	1333	127
913	1334	125
914	1335	124
915	1336	122
916	1338	121
917	1339	119
918	1340	118
919	1341	116
920	1343	115
921	1344	113
922	1346	112
923	1347	110
924	1348	109
925	1349	107
926	1352	106
927	1354	105
928	1355	103
929	1357	102
930	1358	100
931	1359	99
932	1360	97
933	1362	96
934	1363	94
935	1364	93
936	1366	91
937	1368	90
938	1369	88
939	1370	87
940	1372	86
941	1373	84
942	1374	83
943	1376	81
944	1377	80
945	1378	78
946	1379	77
947	1381	75
948	1383	74
949	1384	72
950	1385	71
951	1386	69
952	1388	68
953	1389	67
954	1390	65
955	1391	64
956	1392	62
957	1394	61
958	1395	59
959	1397	58
960	1399	56
961	1401	55
962	1402	53
963	1403	52
964	1404	50
965	1406	49
966	1407	48
967	1408	46
968	1409	45
969	1410	43
970	1413	42
971	1414	40
972	1415	39
973	1416	37
974	1418	36
975	1419	34
976	1420	33
977	1421	31
978	1422	30
979	1424	29
980	1426	27
981	1427	26
982	1428	24
983	1431	23
984	1433	21
985	1434	20
986	1435	18
987	1436	17
988	1438	16
989	1440	14
990	1443	13
991	1445	11
992	1446	10
993	1447	8
994	1450	7
995	1452	5
996	1453	4
997	1454	2
998	1456	1
999	1458	0
